Work Item Type,Title,Tags,Priority,Story Points,Description
Feature,[SEC-NS] Network Security — MCSB v2,MCSB-v2; NS; azure-infra-sec; security-gap,2,,Covers MCSB v2 Network Security domain (NS-1 through NS-10) plus 50 Azure resource-specific network security controls mapped from MCSB v3. Key scope: network segmentation; NSG hardening; private endpoints; firewall policies; DDoS protection; WAF; DNS security; VPN/ExpressRoute; private link; TLS enforcement. Total: ~60 user stories.
Feature,[SEC-IM] Identity Management — MCSB v2,MCSB-v2; IM; azure-infra-sec; security-gap,1,,Covers MCSB v2 Identity Management domain (IM-1 through IM-8) plus 7 Azure resource-specific identity controls mapped from MCSB v3. Key scope: centralized identity (Azure AD); MFA enforcement; managed identities; SSO; conditional access; credential protection; service authentication. Total: ~15 user stories.
Feature,[SEC-PA] Privileged Access — MCSB v2,MCSB-v2; PA; azure-infra-sec; security-gap,1,,Covers MCSB v2 Privileged Access domain (PA-1 through PA-8) plus 4 Azure resource-specific privileged access controls mapped from MCSB v3. Key scope: PIM; JIT access; privileged workstations (PAW); standing access elimination; emergency access accounts; Customer Lockbox; Azure Lighthouse. Total: ~12 user stories.
Feature,[SEC-DP] Data Protection — MCSB v2,MCSB-v2; DP; azure-infra-sec; security-gap,2,,Covers MCSB v2 Data Protection domain (DP-1 through DP-8) plus 28 Azure resource-specific data protection controls mapped from MCSB v3. Key scope: encryption at rest (CMK/PMK); encryption in transit (TLS 1.2+); Key Vault management; certificate lifecycle; data classification (Purview/MIP); sensitive data monitoring. Total: ~36 user stories.
Feature,[SEC-AM] Asset Management — MCSB v2,MCSB-v2; AM; azure-infra-sec; security-gap,3,,Covers MCSB v2 Asset Management domain (AM-1 through AM-5) plus 6 Azure resource-specific asset management controls mapped from MCSB v3. Key scope: resource inventory (Resource Graph); tagging policies; approved services enforcement; resource lifecycle governance; software inventory on VMs; Azure Migrate discovery. Total: ~11 user stories.
Feature,[SEC-LT] Logging and Threat Detection — MCSB v2,MCSB-v2; LT; azure-infra-sec; security-gap,2,,Covers MCSB v2 Logging and Threat Detection domain (LT-1 through LT-7) plus 2 Azure resource-specific controls mapped from MCSB v3. Key scope: diagnostic settings on all resources; Log Analytics workspace consolidation; Microsoft Sentinel integration; threat detection alerts; log retention policies; NTP/time sync. Total: ~9 user stories.
Feature,[SEC-IR] Incident Response — MCSB v2,MCSB-v2; IR; azure-infra-sec; security-gap,3,,Covers MCSB v2 Incident Response domain (IR-1 through IR-4). No v3 Azure resources map primarily to IR — all stories are v2 native controls. Key scope: IR plan documentation; security contact configuration; alert-to-incident workflow; post-incident review process. Total: 4 user stories.
Feature,[SEC-PV] Posture and Vulnerability Management — MCSB v2,MCSB-v2; PV; azure-infra-sec; security-gap,2,,Covers MCSB v2 Posture and Vulnerability Management domain (PV-1 through PV-7) plus 2 Azure resource-specific controls mapped from MCSB v3. Key scope: Defender for Cloud Secure Score; automated vulnerability scanning; OS and software patch management; secure configuration baselines; red team operations; automated remediation. Total: ~9 user stories.
Feature,[SEC-ES] Endpoint Security — MCSB v2,MCSB-v2; ES; azure-infra-sec; security-gap,3,,Covers MCSB v2 Endpoint Security domain (ES-1 through ES-3) plus 14 Azure resource-specific endpoint security controls mapped from MCSB v3. Key scope: Defender for Endpoint EDR; antimalware; container runtime security (AKS; Container Instances; ARO); IoT device endpoint security; Azure Arc-managed endpoints. Total: ~17 user stories.
Feature,[SEC-BR] Backup and Recovery — MCSB v2,MCSB-v2; BR; azure-infra-sec; security-gap,3,,Covers MCSB v2 Backup and Recovery domain (BR-1 through BR-4) plus 2 Azure resource-specific controls mapped from MCSB v3. Key scope: Azure Backup policy coverage; geo-redundant vaults; backup encryption (CMK); immutable/soft-delete vault protection; restore testing cadence; Azure Site Recovery for DR. Total: ~6 user stories.
Feature,[SEC-DS] DevOps Security — MCSB v2,MCSB-v2; DS; azure-infra-sec; security-gap,3,,Covers MCSB v2 DevOps Security domain (DS-1 through DS-6). No v3 Azure resources map primarily to DS — all stories are v2 native controls. DS controls are cross-cutting and apply to all deployment pipelines. Key scope: CI/CD pipeline security; IaC scanning (Checkov); software supply chain; secret detection; SAST/DAST; threat modeling. Total: 6 user stories.
Feature,[SEC-GS] Governance and Strategy — MCSB v2,MCSB-v2; GS; azure-infra-sec; security-gap,2,,Covers MCSB v2 Governance and Strategy domain (GS-1 through GS-10) plus 3 Azure resource-specific governance controls mapped from MCSB v3. Key scope: Azure Policy initiative assignment; RBAC governance; compliance dashboard; security roles and RACI; strategy documentation per domain; cost governance; managed application policies. Total: ~13 user stories.
